기업명,기업링크,공고제목,공고링크,태그,공고내용,공고내용이미지url
엔터웨이파트너스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=c3BHeWp2VHdVUzF3UkpncG5QZS91UT09,국내 대형 패션 기업 의류 디자이너,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203067,['의상디자인'],"[회사소개]
국내 대형 의류사

[모집부문]
국내 대형 패션 기업 의류 디자이너

[담당업무]
- 성인 의류 디자인
- 컬러, 소재 구성 및 샘플링
- 시장조사 및 트렌드 분석
- 작업지시서 작성 및 QC 진행

[자격요건]
- 패션 관련 전공이신 분
- 아우터(자켓류)에 강점을 가지신 분
- 일러스트, PPT 가능하신 분
※ 포트폴리오 제출 필수

＊근무지
서울|서울

＊직급
[대리급]

[제출서류]
국문상세이력서(MS-Word)

[제출처]
담당자명   우한식 이사
전화번호   02-6281-5017

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

㈜엔터웨이파트너스는 주민등록번호 수집 금지 법령과 공정화에 관한 법률에 의거하여, 다음과 같은 정보를 수집하지 않습니다. 
1. 구직자 본인의 생년월일을 제외한 주민등록번호
2. 구직자 본인의 용모,키,체중 등의 신체적 조건 / 출신지역,혼인여부,재산 / 직계 존비속 및 형제자매의 학력,직업,재산",['https://www.saraminimage.co.kr/?url=http://www.nterway.com/job_email/wh.png']
(주)에스앤티써치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Nzk1T1hPakVNblc3Qk9Dc1dzNFlDZz09,식품 마케팅 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203054,"['마케팅전략', '브랜드마케팅', '마케팅', '식품마케팅']","[담당업무]
- 마케팅기획 및 개발

- 제품 운영 및 관리

- 식품의 시장 환경 및 트렌드, 소비자 분석 및 시장조사

- 제품 및 브랜드 마케팅 활동


[자격요건]
대졸이상
경력 8년~12년

[우대사항]
식품업계 경력자

[전형절차]
- 서류전형 > 1차면접> 2차면접

[제출서류]
국문이력서(경력기술서 포함)

[직무분야]
마케팅

[근무지역]

서울
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)18시 00분 ~ 2025년 04월 09일 (수) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
2차면접
최종합격",
주식회사 핀커스에이치알지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NmRvK3NzOWJPUmVZbGtqRG5qblhxQT09,마케팅(리드급&뷰티&자사몰),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203045,"['글로벌마케팅', '디지털마케팅', '모바일마케팅', '브랜드마케팅', '마케팅']","[주요업무]
국내 세일즈 및 마케팅 업무 총괄
마케팅 대행사 운영
입점사 핸들링 
자사몰 운영기획(자사몰/브랜드스토어)

[자격요건]
경력 10년 전후 
동종업계(뷰티) 근무자
MD인원 인력운영 경험 
자사몰 매출중심 및 올리브영 마케팅을 총괄 할 수 있는 분
성별무관

[근무지]
서울시 강서구
 [채용절차]
서류전형 > 실무자면접 > 임원면접 > 최종합격  
 [지원방법]
""온라인지원"" or ""자유양식의 워드파일 이력서"" 제출하시면 적합한 분에 한해 연락드립니다 
hunterkei@naver.com
010-2069-5371",
,,[원프레딕트] QA Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203037,"['QA/테스터', 'API', 'ETL', 'Javascript']","[원프레딕트] QA Engineer
모집부문 및 상세내용

업무 내용
합류 직후 이런 일을 해요
ㆍGuardione 제품의 소프트웨어 품질 관리를 위해 테스트 시나리오를 수립하고 테스트를 수행합니다.
ㆍ효과적인 품질 관리를 위한 전략 및 절차를 수립하고 실행합니다.
ㆍ기능 테스트, 회귀 테스트, 성능 테스트, 보안 테스트 등을 수행하여 품질 안정성을 유지합니다.
ㆍ테스트 결과를 분석하고, 결함을 보고·추적하며, 테스트 시나리오를 지속적으로 개선합니다.
ㆍ개발, 기획, 디자인, 데이터 사이언티스트 등 다양한 직군과 협력하여 서비스 품질을 향상시킵니다

장기적으로 이런 일도 할 수 있어요
ㆍ품질 수준을 구체화하고, 측정·모니터링·피드백을 통해 지속적으로 개선합니다.
ㆍ다양한 테스트 방법론을 활용하여 기능·비기능적 품질을 발전시킵니다.
ㆍ기획 단계부터 배포까지 전 과정에서 리스크를 분석하고 테스트를 수행하며, 전체 배포를 관리할 수 있습니다.
ㆍ테스트 자동화 환경을 지속적으로 고도화하여 운영 효율성을 극대화합니다.
ㆍ품질 프로세스를 정기적으로 점검하고, 조직 내 QA 문화를 정착시키는 데 기여합니다.

우대사항
이런 분이 필요해요!
ㆍ애자일/스크럼 기반의 개발 프로세스에서 QA 경험이 있는 분
ㆍ데이터 파이프라인을 사용하는 웹 애플리케이션에서 3년 이상의 QA 경험 또는 그에 준하는 실무 경험이 있으신 분
ㆍAPI 테스트(Postman 등)를 수행하고 검증할 수 있는 분
ㆍ요구사항 분석을 통해 QA 전략을 수립하고, 기획 단계에서 문제를 도출할 수 있는 분
ㆍ논리적이고 유연한 사고를 바탕으로 개발, 기획, 데이터 엔지니어링, DevOps 등 유관 부서와 원활한 커뮤니케이션이 가능한 분
ㆍ테스팅에 대한 열정과 긍정적인 마인드를 가지신 분

이런 경험이 있으면 더 좋아요!
ㆍ자동화 테스트(Playwright, Cypress, Selenium, javascript 등)에 대한 관심과 경험이 있으신 분
ㆍ데이터 흐름 및 ETL 프로세스 테스트 및 품질 관리 경험이 있는 분
ㆍCI/CD 환경에서 테스트 자동화를 구축하고 운영한 경험이 있는 분
ㆍ테스트 커버리지를 높이고, 조직 내 QA 문화를 정착시키는 데 기여할 수 있는 분
ㆍ사내 테스트 품질을 향상시킬 수 있는 새로운 프레임워크를 제안하고 주도적으로 적용할 수 있는 분








복지 혜택
# Compensation Package
        · 최고의 인재에 걸 맞는 경쟁력 있는 수준의 연봉 지급
        · 4대 보험, 퇴직금, 연차
        · 전사 목표 달성 시, 상여금 지급
        · 장기근속자 포상
       #  Work Environment
        · 선택근무제(주 40시간 내에서 1일의 근로시간을 자율적으로 결정하여 근무)
        · 자유로운 복장과 수평적인 조직문화
        · 점심 식대 지원
        · 최고 사양의 업무 장비 및 소프트웨어
        · 야근 시 야근식대 & 택시비 지원
        · 주 2회 재택근무 가능  

#  Refresh
        · 매년 건강검진 지원
        · 명절 선물 및 경조사 지원
        · 생일 당일 유급 휴가 
        · 법인 차량 주말/휴일 개인 사용 가능









팀 소개 및 문화
ㆍ원프레딕트의 모든 애플리케이션을 담당하는 DX팀에 소속되어 일하게 됩니다.
ㆍ소프트웨어 및 테스팅 엔지니어로 성장하는 데 도움을 줄 수 있는 테크 리드와 서로 협력하며 성장할 수 있는 동료가 있습니다.
ㆍ사람이 직접 수행하는 일도 중요하지만, 자동화 할 수 있는 방법을 찾아 지속적으로 개선합니다.
ㆍ고객과 팀이 함께 성장할 수 있도록 기술적 · 사회적 해결책을 모색합니다.
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무지역 : (06105) 서울 강남구 언주로125길 4, 1층(논현동) - 서울 7호선 학동 에서 300m 이내
전형절차
서류전형
1차 면접
2차 면접
(1차 면접 진행 이후,
 2차 진행 여부 확정 )
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 2월 7일 (금) 16시 ~ 2025년 3월 9일 (일) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 제출 서류 : 온라인 이력서, 포트폴리오(포트폴리오를 제출해주실 경우, 우선적으로 검토됩니다.)
유의사항
ㆍ문제 해결 능력, 해당업무를 수행할 수 있는 기초적인 역량, 태도를 중점적으로 평가합니다.
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
주식회사 핀커스에이치알지,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NmRvK3NzOWJPUmVZbGtqRG5qblhxQT09,마케팅(리드급&화장품),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203034,"['글로벌마케팅', '디지털마케팅', '모바일마케팅', '브랜드마케팅', '마케팅']","[주요업무]
국내 세일즈 및 마케팅 업무 총괄
마케팅 대행사 운영
입점사 핸들링 
자사몰 운영기획(자사몰/브랜드스토어)

[자격요건]
경력 10년 전후 
동종업계(뷰티) 근무자
MD인원 인력운영 경험 
자사몰 매출중심 및 올리브영 마케팅을 총괄 할 수 있는 분
성별무관

[근무지]
서울시 강서구
 [채용절차]
서류전형 > 실무자면접 > 임원면접 > 최종합격  
 [지원방법]
""온라인지원"" or ""자유양식의 워드파일 이력서"" 제출하시면 적합한 분에 한해 연락드립니다 
hunterkei@naver.com
010-2069-5371",
브랜드미,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=MitWeEtERUc5K1RXVEpYVDRWc3BNQT09,중소  의료기업 품질관리 16년차 이상 품질이사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203031,"['생산관리', '품질검사원', 'QA', 'QC', '계측제어']","포지션: 품질관리 이사

담당업무
- 인력 및 조직 관리
-설비 및 안전 관리
생산설비 유지보수 및 신규 도입 검토
작업장 내 안전 및 환경 보호 규정 준수 (EHS 관리)
- 경영진 보고

- 품질 및 생산관리
의료기기 제조 공정 총괄 및 생산 일정 계획 수립
ISO 13485, MDR, MDSAP, FDA 21 CFR Part 820 및 cGMP 규정 준수를 위한 품질 관
리 및 개선
생산성 향상을 위한 공정 개선(Lean Manufacturing, Six Sigma) 및 원가 절감 활동
주도
-규제 및 인증 대응
MDR, MDSAP, FDA, cGMP 등 글로벌 규제 준수를 위한 공정 및 품질 시스템 유지
및 관리
CE 인증 및 FDA 510(k)/PMA 승인 유지 및 심사 대응
내부 및 외부 감사(ISO 13485, MDSAP, FDA 등) 준비 및 대응

자격요건
- 의료기기(의료소모품) 품질/생산 관련 경력 16-20년차내외
-리더쉽 조직 관리 역량
200명 이상의 대규모 생산 조직 관리 경험
- 품질관련 자격증 보유자 / 품질심사,대응 경험(필수)
ISO 13485, MDR, MDSAP, FDA 21 CFR Part 820, cGMP 등 의료기기 규정 및 품질
- 학사 이상 (기계공학, 산업공학, 생명공학, 화학공학, 또는 관련 전공
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)17시 00분 ~ 2025년 03월 21일 (금) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
(주)브이제이원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=U1BuaEp4aGlaTzhhY3lwblpLZ0lrZz09,"자금, 회계담당자 사원급",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203029,"['더존', '4대보험', '부가세신고', '자체기장', '전표입력']","자금, 회계담당자 사원급
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
전표입력/더존관리/인사/자금집행/부가세신고 관리부 1명
지원자격
ㆍ경력 : 신입/경력 1년 ~ 3년(사원, 주임급)
ㆍ기타 필수 사항
- 해당직무 근무경험
우대사항
ㆍ전산회계1급 (국가공인), 전산세무2급 (국가공인)
ㆍ더존/회계 능숙자
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 09:30~18:30
ㆍ 근무지역 : (153-803) 서울 금천구 가산동 371-42 승일벤처타워 602호 - 서울 7호선 가산디지털단지 에서 300m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 이력서/자기소개서(경력지원시 업무 중심으로 기재요망)
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/talent3.png']
(주)엔제이어스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Wm11QlNEeFo2azBsbG15Rnc4R0J3dz09,엔제이어스 CS모니터링 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203016,['상담품질관리'],"엔제이어스 CS모니터링 담당자 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
CS모니터링 00명
주요업무
ㆍ CS현황관리
  .CS관련 데이터 수집
지원자격
ㆍ경력 : 경력 1년 이상
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무지역 : (02770) 서울 성북구 장위로40다길 19, 3층 303호 - 서울 6호선 돌곶이 에서 300m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
(주)제이앤씨에이치알,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=L1lZN2Q0eU9zSWR0Q0tONTlldmRCUT09,마케팅 경력이 있는 AMD 1년이상 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203008,"['리테일MD', '바잉MD', '브랜드MD', 'AMD', 'CS관리']","# 채용사
- 의류제조 판매 전문 중견기업
- 주소 : 서울 중구

# 포지션
- 포지션 : 마케팅경력이 있는 AMD
- 직급 : 협의(팀원), 정규직
- 기본연봉 : 3,400~3,600만원
- 경력 : 1년이상

# 담당업무
- 재고 및 오더관리
- 상세페이지 및 상품등록 작업
- 상품 입.출고 관리
- CS관련 외 마케팅 업무 보조

# 필수자격
- 자신의 잠재적 개발에 관심이 많은 붐
- 마케팅 혹은 AMD 경력 1년이상
- 최신 트렌드, 온.오프라인 브랜드에 대한 이해도가 높으신 분
- 유연하고 원활한 커뮤니케티션 가능하신 분

# 우대사항
- 바로 출근 가능 하신 분

# 전형절차
- 서류 ? 면접 - 채용

# 근무 환경 및 복지
- 수습기간 : 3개월
- 수습기간 중 급여 지급 : 90%
- 근무요일 : 월-금
- 근무시간 : 10-19 탄력근무제
- 급여일자 : 5일
- 상여금/성과급/보너스 : 연말보너스, 명절 상여금, 생일 상여금
- 연차수당 지급여부 : 지급
- 퇴직금 지급 여부 : 지급
- 식사 제공 : 식대 10만원 별도제공
- 기숙사 제공 : 없음
- 통근차량 운행 또는 교통비 지급 : 없음
- 기타 수당 또는 기타 처우 : 4대보험, 연차, 명절 상여금, 생일 상여금, 격주 4.5일제, 자사제품
50%할인, 자사 쇼핑지원금 연 100만원 지원, 3/5년 리프레시 휴가 및 상여금
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)18시 00분 ~ 채용시 마감
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
더라미(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=OHRwK0kySzFHeTZoSUh6YXJGalVyQT09,경영지원실 실장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50203003,"['경영지원', '경영분석', '데이터분석', '사업관리', '실적관리']","경영지원실 실장 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년)
경영지원실장 경영지원팀 0명
주요업무
ㆍ 경영지원실 업무 총괄(경영지원 팀장 겸직)
ㆍ 경영회의 자료 작성 및 보고
ㆍ 재무회계 총괄
 -  코스닥 상장사 법인 결산(월/분기별 결산)
 - 손익 분석
 - 세무회계(법인세, 부가세 외)
 - 외부감사 대응

ㆍ 인사총무 총괄
 - 인사기획 및 인사전략 수립
 - 성과관리 및 평가제도 운영
 - 계약 관리, 자산 관리

지원자격
ㆍ경력 : 경력 15년 이상(팀장, 실장급)
ㆍ원활한 커뮤니케이션 역량 보유자
ㆍ더존 아이큐브 사용 가능자
ㆍ실무 능력 필수

우대사항
ㆍ경제학, 경영학, 회계학
ㆍ통계분석능숙자, 엑셀 고급능력자, 문서작성 우수자, 더존/회계 능숙자
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 08:30~17:30
ㆍ 근무지역 : (04791) 서울 성동구 광나루로 172 린 하우스(성수동1가) - 서울 2호선 뚝섬 에서 500m 이내
전형절차
서류전형
1차면접
임원면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 10일 (월) 18시 ~ 2025년 4월 9일 (수) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/marketing1.png']
,,브랜드 패키지 & VMD 디자이너 경력직 채용 (5년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50202996,"['공간디자인', '로고디자인', '브랜드디자인', '잡화디자인', 'VMD']","아이콘비엑스는 글로벌 디지털 마케팅 및 커머스 전문기업인 아이콘 글로벌의 자회사로써,
탄탄한 디지털 마케팅 역량을 기반으로 자체 비건 브랜드 디어도어를 작년에 런칭하여, 새로운 도약을 이어가고 있습니다.


DRD팀에서 함께 할 업무에요
? 제품 용기, 패키지 디자인 및 금형개발
? 국내 외 부자재 소싱 및 업체관리
? 부자재 샘플 / 양산 감리
? 브랜드 리플렛, 카달로그, POP 등 출력물 디자인
? 국내 / 해외 채널별 VMD, 공간 디자인(팝업, 전시회 등)

이런 분을 찾고 있어요
? 경력 5년 이상(필수)
? 해당 직무 경험자(화장품 용기 사양 및 패키지 후가공에 대한 이해, 부자재 업체 핸들링)
? 일러스트, 포토샵 등 디자인 툴 사용이 능숙하신 분
? 팝업 / 박람회 등 작업 경력이 있으신 분
* 포트폴리오 및 경력기술서 제출 필수*

이런 분이면 더 좋아요
? 뷰티 트렌드 및 브랜드에 관심이 많은 분
? 3D 프로그램 활용 가능자(라이노, 키샷등)
? 브랜드 아이덴티티 시각적 표현이 능숙하신 분
? 비주얼 트렌드에 대한 높은 이해도와 적용 능력

함께하면 받는 혜택 및 복지
? 해피 아이콘 데이 (매월 3번째 금요일 유급휴무)
? 매주 금요일 2시간 조기퇴근
? 매년 여름휴가 3일 제공(해당년도 입사자의 경우 재직일 기준 차등부여)
? 자율 출퇴근 : 오전 8시 ~ 11시 (오전 11시 ~ 17시 코어타임)
? 자유롭게 사용하는 연차, 반차, 반반차 제도
? 장기근속자 포상 : 3년 / 5년 / 7년 / 10년
? 생일자 선물
? 명절선물 및 귀향비지급
? 건강검진비 지원
? 경영성과에 따른 성과급 지급
? 전용사옥과 휴게공간
? 자사 제품 구매시 직원가 할

알아두기
? 허위 이력서 작성시 입사 취소될 수 있어요
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)17시 00분 ~ 채용시 마감
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
(주)덕스에듀케이션,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YllPTnRacnNwRTdnQ3hmNk1EaUo4Zz09,[대치 DUX덕스어학원] 학원관리·운영·상담 실장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50202994,"['사무직', '보조강사', '상담교사', '조교', '학습매니저']","[대치 DUX덕스어학원]
학원관리·운영·상담 실장 채용
(주)덕스에듀케이션 DUX-덕스어학원은 영어논술 전문 어학원으로, 20년 이상 대치동에 본사를 두고
대치본원, 서초, 목동, 중계, 강동고덕, 마포, 송파방이, 분당, 일산, 평촌, 송도, 위례, 김포풍무, 1동탄, 2동탄, 천안불당, 부산센텀, 부산동래,
부산남천, 부산명지, 창원, 울산, 제주, 평택고덕, 영통, 과천, 수지, 전주, 김해, 거제, 마곡 등 현재 전국 교육 특구에 31개 캠퍼스가 있습니다.
외국어학원, 교육 프랜차이즈, 교재 출판 및 컨텐츠 개발 사업을 하고 있는 (주)덕스에듀케이션DUX-덕스어학원은
함께 하는 모든 학생이 영어가 모국어인 이들보다 더 유창하게 말하고 쓸 수 있는 이중언어자가 되는 것을 목표로 교육합니다.
모집부문
모집부문
담당업무
자격요건 및 우대사항
관리운영팀
상담실장
ㆍ 교육상담, 입학상담

ㆍ 재원생관리, 정기상담

ㆍ 학사관리, 강사관리
[자격요건]
ㆍ대졸(4년제) 이상
ㆍ신입/경력 무관
ㆍ긍정적, 프로페셔널 마인드
  [우대사항]
ㆍ영어능통자
ㆍ학원경력 보유자
  근무형태 및 복리후생
근무조건
근무형태 및 복리후생
[급여]
ㆍ회사내규에 따름 (면접 후 결정)
ㆍ경력직 : 경력에 따른 우대
ㆍ퇴직금 별도
  [근무시간]
ㆍ월~금 평일13:00~21:00 / 월 1회 토요근무10:00~15:00
  [근무지]
ㆍ강남구 영동대로 231(대치동) 경일빌딩 5층
ㆍ4대보험
ㆍ퇴직연금
ㆍ장기근속자 포상
ㆍ법정연차휴가제도
ㆍ경조휴가/경조금
ㆍ출산휴가/육아휴직
ㆍ자유로운 연차사용/ 반차
ㆍ근로자의 날 휴무
ㆍ명절상여금/선물
ㆍ신입사원 교육/ 멘토제도
ㆍ사무용품 지급/ 음료제공
ㆍ회식강요 안함
ㆍ칼퇴 권장

전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 채용시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/edu3.png']
(주)에이젝코리아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eHlDMTMzQi9CSXEzQ05mQllBYjNWZz09,[일본계기업/전기전자] 인사담당 경력채용(5년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50202981,"['총무', '사내행사', '채용담당자', 'ER(노무관리)', '복리후생']","[일본계기업/전기전자]
인사담당 경력채용(5년이상)
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년)
인사담당 1명



지원자격
ㆍ경력 : 경력 5년 ~ 10년
ㆍ일본어 사용 가능자 
ㆍ근로기준법 및 소득세법 지식 보유자
ㆍ신체 건강한 자
ㆍ운전 가능자 

업무내용
ㆍ임/직원 복리후생 운영
ㆍ채용관리
ㆍ인사관리제도 운영 
ㆍ성과평가제도 운영
ㆍ직원역량개발
ㆍ인사노무 이슈 대응 
ㆍ노사협의체 운영
ㆍ근태관리
ㆍ사내외 행사 운영
ㆍ사규의 재개정
ㆍ기타 업무지원(총무업무 비중 있음)

우대사항
ㆍ영어 사용 우수자
ㆍHR 조직문화 트랜드 분석능력자
ㆍ문제발굴과 해결능력 보유자
ㆍ유연한 커뮤니케이션 능력 소유자
ㆍ근면 성실하고 솔선수범한 자 
ㆍMS Office, Workspace, ERP 등 업무 툴사용이 능숙한자 
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ
: 주 5일(월~금) 08:00~17:00
신입 : 경력 : 별도 협의 후 결정 (희망연봉 기재요청)
*  기말 회사 실적에 따른 인센티브 통상 100~200%
* 복리 후생 : 4대 보험, 퇴직금, 통신비 지원, 영업 차량 이용, 보육 수당, 사원 여행, 건강검진,
                  가족의 날 시행(매주 금요일 1시간 조기퇴근),정기 휴가, 연차, 경조금,  건강 진단, 리프레쉬 휴가,
                 해외 연수 제도 등
ㆍ 근무지역 : 서울 강남구 테헤란로 선릉역 인근
전형절차
서류전형
25/03/21
인적성검사
25/03/21or24
*서류합격자에 한해
 온라인 시행
면접전형(03/26예정)
*면접 대상 통지 예정
*장소: 서울사무소

최종합격






접수기간 및 방법
ㆍ 접 수 기 간 : ~ 2025년 3월 20일 (목) 오전 11시
ㆍ 접 수 방 법 : 사람인 입사지원
ㆍ 이력서양식 : 자사 양식
ㆍ 제 출 서 류 : 이력서, 자기소개서, 경력 기술서
유의사항
ㆍ입사지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/sale1.png']
(주)호암미래디앤씨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=SWp0NllXZ2cwR2dKUmMzMWhncVVCQT09,호텔경영 지원 및 임대사업  경리 회계담당 경력 직원 채용의 건,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50202979,['총무'],"(주)호암 미래 디앤씨의 호텔, 임대사업등의 경리회계 경력직원을 모집합니다.

** 모집인원 - 경력 3년이상 경리회계 0명

** 담당 업무

- (3년 이상) - 연봉 3000만이상 ~ 업무능력에 따라 협의
- 호텔 경영 지원 (몇개의 법인)
- 사무행정
- 경영관리 지원 사무
- 더존 위하고 운용 능숙자 (관리회계위주)
- 외부감사 경력자 우대

** 스킬 - 오피스(엑셀, 워드, 한셀등), 위하고, 윙스 익스프레스(호텔프로그램)

** 핵심역량 - 성실, 꼼꼼함, 계획성, 도덕성, 서류작성 우수자, 민첩성, 정확성, 책임감

** 우대사항
- 컴퓨터활용능력 우수자
- 문서작성 우수자
- 더존, 위하고 운용 능숙자
- 관리서류등 등기 계약서 업무 경력자
- 장기근무자
- 즉시 출근 가능자
- 회계법인 경력 우대
- 관련자격증 소지자

** 복리후생
연차(연간 미소진 시 정산 지급) / 중식 지급 / 간식 (항상 구비) / 4대보험 / 퇴직금(퇴직연금 아님)

** 유의사항
지원 직급 및 희망연봉 기재 必
허위 사실이 발견될 경우 채용 후에도 취소 할 수 있습니다. (추가요청 서류 있을 수 있어요)
실업급여 수령 위한 지원은 사양 합니다.
함께하기 위한 방법
접수기간 : 2025년 03월 10일 (월)18시 00분 ~ 2025년 04월 09일 (수) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
