id,기업명,기업링크,공고제목,공고링크,태그,공고내용,공고내용이미지url
rec-50220093,(주)브레인커머스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bXNQY0FNZGM0dGpPaWJzaXUvQ0lMZz09,글로벌 인플루언서 마케팅(일본),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220093,"['인플루언서마케팅', '광고마케팅']","글로벌 인플루언서 마케팅(일본)
모집부문 및 상세내용
주요 업무
- 일본 인플루언서 컨택 및 커뮤니케이션
- 제품 시딩 및 컨텐츠 검수
- 뷰티 플랫폼 대상 마케팅
- 브랜드 콜라보 행사 기획
직무역량 및 자격요건
- 해외 인플루언서 마케팅 경험자
- 바이럴 마케팅 유경험자
우대 사항
- 일본 뷰티 시장에 대한 이해가 있는 분
- 브랜드사 근무 경험자
- 해외 MCN마케팅 경험자
ㆍ학력 : 대졸 이상 (4년)
글로벌 인플루언서 마케팅(일본/화장품) 1명
지원자격
ㆍ경력 : 경력 3년 ~ 7년
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금)
전형절차
서류전형
1차면접
2차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 채용시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50220091,기린성형외과의원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UnhYMDJVTDRZeWFweWsvamxSYnFFZz09,"[주 5일] 기린성형외과 마케팅팀(영상,기획) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220091,"['병원마케팅', '마케팅기획', '마케팅전략', '광고마케팅', '글로벌마케팅']",,['https://pds.saramin.co.kr/recruit/recruit/202503/12/ssziry58_nicy-xn8lz9_recruit.jpg']
rec-50220085,대해건축디자인(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QzhVZVF0QTdpdFRkKzR0RnQrMGRJUT09,"[주거,상업] 인테리어 설계 디자이너 및 시공관리 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220085,"['가구디자인', '건축디자인', '공간디자인', '2D설계', '3D설계']","[주거,상업] 인테리어 설계 디자이너 및 시공관리 채용
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
디자이너 설계팀 및 시공팀 0명
주요업무
ㆍ 고객 요구 분석
ㆍ 프로젝트 관리 및 조율
ㆍ 디자인 트렌드 연구
ㆍ 예산 및 일정 관리
ㆍ 팀 협업 및 소통
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)(주임, 대리, 사원급)
우대사항
ㆍ건축/토목/조경/도시공학, 기계/자동차/조선공학
ㆍ실내건축기사, 조경기사
ㆍ공모전 입상자, 컴퓨터활용능력 우수, 해당직무 근무경험, CAD/CAM 능숙자, MAC/편집 전문가
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월, 계약직(정규직 전환가능)-3개월
ㆍ 근무지역 : (02171) 서울 중랑구 상봉로26길 60, 1층 대해건축디자인 - 경의중앙선 망우 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/design2.png']
rec-50220068,(주)커리어케어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VzJPaU1xdHVWcmptUXVCTWJ5cFVoQT09,외국계 수입자동차 CS Planning Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220068,"['CS', '고객관리']","[포지션명] CS Planning Manager

[근무지] 본사 (서울특별시 강남구 학동로 343) / 강남구청역 3번출구에서 5m

[주요업무]
- Dealer KPI Reporting and Monitoring
- Service Capacity Management
(Network Planning & Material Development)
- Customer Service Process (CSP) & Environmental Audit Management
- CS (Service) Dealer Marketing Management 등

[자격요건]
- 학력 : 4년제 대졸
- 경력 : 관련 업무 경력 5년이상
- 비즈니스 영어회화 가능자

[우대사항]
- 수입자동차 동종업계 경험자
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 2025년 03월 24일 (월) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
2차면접
최종합격",
rec-50220067,(주)씨투디자인,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NmhraVZFVlJPbHU2WWllYmJud3JVdz09,[상시모집]인테리어 디자인C2Design과 함께 하실 귀한 인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220067,"['가구디자인', '건축디자인', '경관디자인', '공간디자인', '공공디자인']","[상시모집]인테리어 디자인C2Design과 함께 하실 귀한 인재 모집
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년)
디자이너 설계 및 시공 0명
주요업무
ㆍ 디자인 아이디어 제시 및 구상
ㆍ 프로젝트 일정 및 예산 관리
ㆍ 시공 현장 지도 및 감독
ㆍ 고객 요구사항 파악 및 대응
ㆍ 시공 완료 후 마무리 작업
지원자격
ㆍ경력 : 경력 1년 ~ 10년(과장, 차장, 팀장급)
ㆍ기타 필수 사항
- 운전가능자, 해당직무 근무경험, CAD/CAM 능숙자
우대사항
ㆍ건축/토목/조경/도시공학
ㆍ실내건축기사, 조경기사, 건축기사
ㆍ영어가능자, 공모전 입상자, 해당직무 인턴경력, 컴퓨터활용능력 우수, 인근거주자, 차량소지자, 문서작성 우수자, 포토샵 능숙자, MAC/편집 전문가, 3D 툴 능숙자, 엑셀 고급능력자, 영어능통자, 고용촉진장려금 대상
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월, 프리랜서
ㆍ 근무일시 : 09:30~18:30
ㆍ 근무지역 : (07803) 서울 강서구 공항대로 247, B동 1116호 - 서울 5호선 발산 에서 300m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 자유양식
ㆍ 제출서류 : 패션브랜드 인테리어 경험자 우대합니다.
3DMAX 필수 입니다.
""포트폴리오""는 필히 제출 부탁드립니다
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",['https://www.saraminimage.co.kr/sri/vix/template/toptype/design1.png']
rec-50220066,(주)코펙구조기술사사무소,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RmY0M1lLNjNCNitrYldDS1Nhdldodz09,건축구조설계 신입 및 경력(1~4년차) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220066,"['건축기사', '건축구조설계', '내진설계', 'CAD']","건축구조설계 신입 및 경력(1~4년차) 모집
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (2,3년)
건축구조설계 2명
지원자격
ㆍ경력 : 신입/경력 1년 ~ 4년
우대사항
ㆍ건축/토목/조경/도시공학
ㆍ건축기사
근무조건
ㆍ 근무형태 : 정규직(수습기간)-2개월
ㆍ 근무일시 : 주 5일(월~금) 09:00~18:00
ㆍ 근무지역 : (05644) 서울 송파구 오금로 229, 5층 - 서울 5호선 방이 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50220061,㈜골드윙파트너스,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=NC81MGl4VGhYSEpWRTluN2tuR0VqQT09,Sales Engineer - Global Chemical,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220061,"['기술영업', '영업관리', '영업마케팅', '영업전략', '영업기획']","Goldwing Partners Ltd. has been providing Executive Search Service
to the successful companies around the world since 2001.
As a global premier executive search firm,
We excel in finding uniquely qualified leaders for client in all major market.
    [Brief Information of Position]
* Company: Global Chemical Company (Manufacturing & Sales)
* Position: Sales Engineer
* Salary: Negotiable around KRW 80 Mil. ~ 100 Mil.
  [Requirements]
1. 5 ~ 10 years of work experience in Chemical Company
2. Professional experience in Sales and Account Management
3. Fluent English skill
4. Bachelor’s degree in Chemical Engineering or related
    [To apply this position]
- Please send your resume written in English or Korea into goldwing@goldwingp.com
  『We thank all candidates for their applications.
Please be advised however, only qualified candidates will be contacted for an interview.
Any candidates not contacted for this particular application will have their resumes and/or
applications confidentially retained on file for future consideration.』
    [Others]
- Tel: 82-51-636-9393
- E-mail: goldwing@goldwingp.com
- http://www.goldwingp.com
 ",
rec-50220059,(주)맨토스파워,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WW5hU1o4NEUrZGtoWTdsN0JLelBsQT09,[국내top5식품대기업] 해외사업전략 (경력 4년-10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220059,"['사업기획', '전략기획', '사업개발', '신사업기획', '신사업발굴']","해외사업전략 경력직
모집부문 및 상세내용
추천회사
ㆍ국내 TOP5 식품대기업 
해외사업전략 0명

[직무] 
해외사업전략 

[자격요건]
 - 학력 : 학사 / 전공 : 무관
 - 관련 업무 경력 4년 이상 10년 이하 (사업 전략 수립 및 관리, 신사업/신제품 기획, 해외 영업/마케팅)
 - 전략 수립 및 보고서/프레젠테이션 능력 보유자
 - 영어 의사소통 및 글로벌 식품/소비재 시장 이해 역량 보유자

[담당업무]
 - 미국, 유럽, 신시장(중남미, 중동, 동남아, CIS) 권역 사업 성장 전략 및 중장기 계획 수립 업무
 - 해외 법인 현지 사업 활성화 실행 지원 (유통 전략, 신제품 기획, 마케팅 등) 업무
 - 해외 신규 사업 기획/발굴 및 사업 조사 업무
    ※ 해외 거점 근무 가능

[우대 사항]
 - 식품/소비재 산업 전략/기획, M&A 업무 경험 보유자
 - 미국/유럽/신시장 권역 사업전략, 해외영업/마케팅 업무 및 주재원 경험 보유자
 - 영어 및 해당권역 로컬 언어 능통자

[근무지]
근무지 : 서울
연봉: 면접시 협의

근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 :  채용시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.

=============================
김주현 부장 / 팀장
헤드헌팅사업부 Sr.Consultant
(주)맨토스파트너/파워(www.mantp.co.kr)
직통 : 02)335-8090
Fax : 02)335-3341

Mobile : 010-3514-3599
e-mail : tender3599@naver.com
Profile: https://www.linkedin.com/in/joo-hyun-kim-138b17b2",
rec-50220047,(주)두진아이디,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TGJVQXpYckxJLzE1SWozcStLNHVGQT09,유리앤호텔 예약실 직원 채용 (영어가능자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220047,"['접수/예약', '프론트', '호텔']","유리앤호텔 예약실 직원 채용 (영어가능자)
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
예약실 예약실 1명
담당업무
ㆍ호텔 객실 예약 관리
ㆍ호텔 내외부 고객 전화 문의 응대

지원자격
 ㆍ경력 : 관련업무 1년이상~3년이하 (사원, 팀원급)
            *호텔 프런트 경력 인정
ㆍ영어능통자
ㆍ학력 : 대졸이상

우대사항
ㆍ호텔경영학
ㆍ영어능통자
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주5일 근무, 09:00~18:00 (면접 후 협의)
ㆍ 근무지역 : (135-090) 서울 강남구 삼성동 158 - 서울 2호선 삼성 에서 500m 이내
전형절차
서류전형
인사팀 면접
실무팀 면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2023년 12월 21일 (목) 14시 ~ 2024년 2월 19일 (월) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 최종합격시 가족관계증명서, 원천징수부
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50220043,(주)아이티에스노아,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=eTdwKzRhclVPVXRkRUYzTEFGaHFKUT09,"환경, 안전, 보건 분야 전문 연구 인력 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220043,"['연구원', 'R&D', '학술연구', '서비스기획', '웹기획']","환경, 안전, 보건 분야 전문 연구 인력 모집
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 대졸 이상 (4년)
환경 및 안전 보건분야 전문 연구원 모집 사업부 0명
주요업무
ㆍ 스마트 환경안전보건 관리 업무
ㆍ 연구과제 수행 및 데이터 분석
ㆍ 스마트 환경안전보건 시스템 기획
ㆍ 환경안전보건 분야 컨설팅
지원자격
ㆍ경력 : 무관 (신입도 지원 가능)(팀원, 팀장급, 면접 후 결정)
우대사항
ㆍ생명/환경공학, 공학계열, 자연계열
ㆍ해당직무 근무경험, 석사학위 수여자, 컴퓨터활용능력 우수, 문서작성 우수자
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무지역 : (08589) 서울 금천구 가산디지털2로 70 대륭테크노타운19차(가산동) - 서울 7호선 가산디지털단지 에서 800m 이내
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 2025년 4월 11일 (금) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 채용 확정 후 별도 안내
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50220035,이지앤웰니스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q2gyOFo1Y3B3MC81VU9LaEppTGNCdz09,[이지앤웰니스] 경영기획(4-7년) 인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220035,"['경영기획', '사업기획', '전략기획', '사업관리', '신사업기획']",,"['https://img.ezwelmind.co.kr/image_design/etc/230104_recruit_1.jpg', 'https://storage.googleapis.com/ezn-recruit/%EA%B2%BD%EC%98%81%EA%B8%B0%ED%9A%8D(4~7%EB%85%84).png', 'https://img.ezwelmind.co.kr/image_design/etc/230104_recruit_3.jpg']"
rec-50220024,이지앤웰니스(주),https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Q2gyOFo1Y3B3MC81VU9LaEppTGNCdz09,[이지앤웰니스] 마케팅팀장(경력 7년 이상) 인재 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220024,"['브랜드마케팅', '비즈니스마케팅', '오프라인마케팅', '온라인마케팅', '심리치료사']",,"['https://img.ezwelmind.co.kr/image_design/etc/230104_recruit_1.jpg', 'https://storage.googleapis.com/ezn-recruit/%EB%A7%88%EC%BC%80%ED%8C%85%ED%8C%80%EC%9E%A5(%ED%9A%8C%EC%82%AC%EC%86%8C%EA%B0%9C2).png', 'https://img.ezwelmind.co.kr/image_design/etc/230104_recruit_3.jpg']"
rec-50220010,(주)맨토스파워,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=WW5hU1o4NEUrZGtoWTdsN0JLelBsQT09,[국내 top5 식품대기업] (개인)정보보호 (경력 3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220010,"['보안컨설팅', '정보보안', '사이버보안', 'IT시스템취약점관리', '클라우드보안관리']","(개인)정보보호 경력직
모집부문 및 상세내용
추천회사
ㆍ국내 TOP5 식품대기업 
(개인)정보보호 0명

[직무] 
(개인)정보보호

[자격요건]
- 학력 : 학사 / 전공 : (개인)정보보호또는 정보기술 관련 전공
- ISMS-P인증 대응업무 경력 3년 이상

[담당업무]
- (개인) 정보보호 관련 법 규제 및 점검 대응 업무
- (개인) 정보보호 관리체계 운영 및 인증 대응 / 사이버 보안 업무
- 사이버보안, 침해 예방 및 외부 위험 탐지/방어 체계관리 업무
- IT시스템 취약점 관리 및 클라우드 보안 아키텍쳐 관리 업무
- IT시스템 보안 적합성 검토 및 개인정보 안전성 확보 조치 업무

[우대 사항]
 - 정보보안기사, 산업보안관리사, CPPG 등 (개인)정보보호 자격증 보유자 
 
[근무지]
근무지 : 서울
연봉: 면접시 협의

근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
전형절차
서류전형
1차면접
최종합격
접수기간 및 방법
ㆍ 접수기간 :  채용시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.

=============================
김주현 부장 / 팀장
헤드헌팅사업부 Sr.Consultant
(주)맨토스파트너/파워(www.mantp.co.kr)
직통 : 02)335-8090
Fax : 02)335-3341

Mobile : 010-3514-3599
e-mail : tender3599@naver.com
Profile: https://www.linkedin.com/in/joo-hyun-kim-138b17b2",
rec-50220015,(주)시미코퍼레이션,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Um9mSHdLaXR2WS9IL2pIbzJYanFGQT09,[서울 강남구] 영업직 경력직 채용 정규직 모집 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50220015,"['영업관리', '영업지원', '식품/음료영업', '영업전략', 'B2B']","[서울 강남구]
영업직 경력직
채용 정규직 모집 공고


◆ 모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 고졸 이상
영업팀 1명

[지원자격]
ㆍ경력 : 경력 1년 이상
ㆍ기타 필수 사항
- 2종보통운전면허
우대사항
ㆍ2종보통운전면허(오토)
ㆍ5년 이상 관련 분야 경력자, 해당직무 근무경험, 운전가능자

근무조건
ㆍ 근무형태 : 정규직
ㆍ 근무일시 : 09:00~18:00
ㆍ 근무지역 : (06234) 서울 강남구 테헤란로14길 8 - 서울 2호선 역삼 에서 500m 이내


전형절차
서류전형
1차면접
최종합격

접수기간 및 방법
ㆍ 접수기간 : 2025년 3월 12일 (수) 09시 ~ 채용시 마감
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 자유양식

유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ인재가 채용될 시 해당 공고는 마감될 수 있습니다.","['https://www.saraminimage.co.kr/sri/vix/template/toptype/sale3.png', 'https://pds.saramin.co.kr/recruit/recruit/202503/12/sszjmo23_7cum-xq1r9w_recruit.png']"
rec-50219999,(주)커리어케어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VzJPaU1xdHVWcmptUXVCTWJ5cFVoQT09,외국계 수입자동차 대기업 생산&수요 관리,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50219999,"['생산관리', '물류관리', '재고관리']","[포지션명] Production& Demand Manager(대리-과장급)

[근무지] 본사 (서울특별시 강남구 학동로 343) / 강남구청역 3번출구에서 5m

[주요업무]
- Production Planning
- Logistics Management
- Customer Demand & Contract Trend Analysis
- Data Analysis 등

[자격요건]
- 학력 : 4년제 대졸 (상경계열 등 관련 전공)
- 경력 : 관련 업무 경력 5년이상
- 비즈니스 영어회화 가능자

[우대사항]
- 수입자동차 동종업계 경험자
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 2025년 03월 24일 (월) 23시 59분
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
2차면접
최종합격",
rec-50219996,,,[AI 의료기기] Data Scientist 데이터 사이언티스트 머신러닝,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50219996,"['데이터엔지니어', '머신러닝', '의료영상', '데이터 사이언티스트']"," 


▶ 휴톰 홈페이지 : 바로가기
▶ 휴톰 사내 인터뷰 : 바로가기
▶ 휴톰 YouTube : 바로가기


휴톰은 이렇게 운영되고 있어요
1. 분단위 유연근무제 운영(8시부터~ 10시 사이 매일 자유로운 출근)
2. 직급 없는 '님' 호칭의 상호 존중 문화
3. 자가결재 시스템을 통한 자유로운 휴가 사용
4. 종합 건강검진 지원 및 검진시 휴가 지원(전년도 상반기 입사자)
5. 의견 제시에 자유로운 수평적인 분위기
6. PAYCO 복지포인트 분기별 지급 → 업종 무관하게 사용 가능
7. 생일 다음 분기에는 추가 지급!
8. DC형 퇴직 연금 운용
9. 각종 경조사 휴가 및 경조금 지원(본인 및 가족의 결혼, 출산, 사망 등)




[AI 의료기기 휴톰]
Data Scientist 모집
모집부문 및 상세내용
자격요건
- 경력 5년 이상 (머신러닝 / 딥러닝 / 데이터 분석 관련 경력 포함)
 - Python 및 관련 프로그래밍 언어를 활용한 데이터 처리, 분석 및 모델 개발 경험
 - 머신러닝 및 딥러닝 프레임워크(TensorFlow, PyTorch, scikit-learn 등) 사용 경험
 - 데이터 전처리, 상관분석 및 통계적 분석에 대한 이해와 경험

주요업무
- 의료 데이터 수집 및 전처리 : 다양한 의료 데이터 소스를 통합하여 분석에 적합한 형태로 가공
- 예측 모델 개발 : 머신러닝 및 딥러닝 기술을 활용하여 암수술 후 합병증 예측 모델 등 의료 예측 모델을 설계, 구현 및 최적화
- 상관분석 및 인사이트 도출 : 의료 데이터의 상관관계 분석을 통해 유의미한 인사이트를 발굴하고, 이를 모델 개선에 반영
- 모델 검증 및 성능 평가 : 개발한 모델의 정확도, 민감도, 특이도 등 성능 지표를 평가하고, 결과를 바탕으로 모델을 지속적으로 개선


우대사항
 - 의료 데이터의 특성을 고려한 모델 설계 및 최적화 경험
 - 관련 학위 보유자 (컴퓨터공학, 통계학, 생명과학 등)
- 기술 문서 작성 및 프로젝트 결과 공유 경험
 - 의료 데이터 또는 의료정보 시스템 관련 경험 우대



근무조건
ㆍ 근무형태 : 정규직(수습 6개월)
ㆍ 근무지역 : (04151) 서울 마포구 독막로 301 일양빌딩별관 5층
전형절차
서류전형
1차면접(실무진)
2차면접(경영진)
최종합격
접수기간 및 방법
ㆍ 접수기간 : 채용시까지
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
유의사항
ㆍ입사 지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.","['https://img1.daumcdn.net/thumb/R1280x0/?scode=mtistory2&fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FsiL8g%2Fbtq5qqfQrMQ%2FlQksDusJpDDWzYtH4A5qNK%2Fimg.png', 'https://pds.saramin.co.kr/workenv-bg/202108/27/qyhdq3_u6oz-1ms4ocv_workenv-bg.jpg']"
rec-50219995,(주)두진아이디,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=TGJVQXpYckxJLzE1SWozcStLNHVGQT09,(주)두진아이디 유리앤호텔 OTA Sales Manager 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50219995,['호텔'],"(주)두진아이디 유리앤호텔 OTA Sales Manager 모집
모집부문 및 상세내용
공통 자격요건
ㆍ학력 : 무관
OTA Sales Manager 1명
지원자격
ㆍOTA Manager 경력 : 1년 ~ 3년 가능
ㆍ또는 프런트 경력 2년 이상 지원 가능
우대사항
ㆍOTA 판촉 및 시스템 핸들링 유 경험자
ㆍ로컬 브랜드 및 글로벌 체인 호텔 근무 경력자 우대
ㆍ1년 이상 경력자 우대
ㆍ해당직무 인턴/근무 경험
근무조건
ㆍ 근무형태 : 정규직(수습기간)-3개월
ㆍ 근무일시 : 주 5일(월~금) 오전 9시~오후 6시
ㆍ 근무지역 : (135-090) 서울 강남구 삼성동 158 - 서울 2호선 삼성 에서 500m 이내
전형절차
서류전형
인사팀 면접
실무팀 면접
최종합격
접수기간 및 방법
ㆍ 접수기간 : 2024년 1월 25일 (목) 14시 ~ 2024년 3월 25일 (월) 24시
ㆍ 접수방법 : 사람인 입사지원
ㆍ 이력서양식 : 사람인 온라인 이력서
ㆍ 제출서류 : 최종합격시 가족관계증명서, 원천징수영수증
유의사항
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",
rec-50219991,(주)우주특수,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=Yjk3U2Jnd2czYjA4emdURVd0NnNydz09,[제작관리] 제작 및 협력 업체 관리 신입 직원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50219991,"['생산관리', '자재관리', '납기관리']","㈜우주특수는 2018년에 설립된 법인회사로 서울 중구 인현동1가에 위치하고 있으며, 화장품, 생활용품, 식품 등 포장 박스를 제작하고 있습니다
2020년도 매출액 60억 이상을 달성함으로 점점 성장하는 튼튼한 회사입니다. 작지만 강한 회사라는 타이틀에서 크고 강한 회사로 발전해 나가기 위해 함께 할 인재를 찾습니다.

[모집분야] 제작 및 협력 업체 관리

[주요업무]
- 하청업체의 제작 과정과 품질을 관리합니다.
- 제품 출고를 관리합니다.

[자격요건]
- 학력 무관
- 경력 무관
- 운전면허
- 컴퓨터 활용 능력
- 효율적인 의사소통

[우대사항]
- 유관 업무 경험자
- 엑셀, 문서 작성 우수자
- 운전 가능자
- 장기근무 가능자

[복리후생]
- 4대 보험
- 연차 및 휴가 제도를 운영
- 경조금, 상여금 등
함께하기 위한 방법
접수기간 : 2025년 03월 12일 (수)09시 00분 ~ 채용시 마감
접수방법 : 사람인 입사지원
이력서양식 : 사람인 이력서 양식
함께하기 위한 여정
서류전형
1차면접
최종합격",
