id,기업명,기업링크,공고제목,공고링크,태그,경력,학력,근무형태,급여,근무지역,지원시작일,지원마감일,지원방법,접수양식,담당자,연락처,refined_content_revised
rec-50306020,(사)한국지능형사물인터넷협회,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=R3EwTUVWVUFGMi9ya1ljRkxXVXdEdz09,한국지능형사물인터넷협회 정규직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50306020,"['사무직', '서무', 'Excel', 'PowerPoint', '시장조사']",,"대졸(2,3년제) 이상(예정자 가능)",정규직 수습기간 3개월,면접 후 결정,서울 송파구,2025.03.21 17:00,2025.04.06 23:59,사람인 입사지원,자사양식,,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 주5일, 09시~18시  
근무지역: 해당 사항 없음  
전형절차: 서류전형 → 1차 면접 (실무자) → 2차 면접 (임원) → 최종합격  
접수방법: 사람인 입사지원 또는 e-mail 제출(rice@kiot.or.kr)  

[채용 공고 주요 내용]  
- 주요 업무: 정부과제 사업수행 및 운영 (AIoT산업실태 조사 등), 포럼 및 세미나 개최  
- 자격 요건: 신입: 학사학위 소지자 또는 취득예정자, 경력: 관련분야 3년 이하  
- 우대 사항: OA활용 우수자(한글, PPT, 엑셀 등), SPSS 등 통계패키지 활용 가능자, 유관업무 경험자, 문서작성 및 발표능력 우수자  

[그 외]  
- 그 외 정보:  
  - 급여: (경력) 협회 내규에 따름 (면접 시 협의), (신입) 학사졸업기준 3,060만원  
  - 시용(수습)기간: 3개월, 시용기간 중 근무평정결과에 따라 임용 여부 결정  
  - 이력서 양식: 협회 지정양식  
  - 제출 서류: 입사지원서(당사 양식), 경력참고자료 등  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용이 취소될 수 있음  
  - 복리후생: 정규직 전환 시 기준으로 명절 지급금(설, 추석 각 30만원), 창립기념일 선물(30만원), 생일선물(30만원), 건강검진비(20만원), 선택적복리후생지원(180만원)  "
rec-50309757,오네트옴,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=M04vUFBZZjI1Mkl1VHJkU3RUaWFvdz09,송파문정점 오네트옴 신입/경력 왁서 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309757,['왁서'],,학력무관,"정규직, 프리랜서",면접 후 결정,"서울 송파구, 강남구, 강동구, 광진구, 경기 성남시 분당구, 성남시 수정구, 성남시 중원구",2025.03.22 11:00,2025.05.21 23:59,사람인 입사지원,사람인 이력서 양식,,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 주5일, 11:00-21:00 (탄력제)  
근무지역: 송파문정점  
전형절차: 서류전형 → 1차 면접 → 적성 평가 → 2차 면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 왁싱, 속눈썹펌, 고객응대 및 관리  
- 자격 요건: 피부미용 자격증, 열정과 성실함  
- 우대 사항: 장기근무자 우대, 인근거주자 우대  

[그 외]  
- 그 외 정보:  
  - 접수기간: 2025년 03월 22일 (토) 11시 00분 ~ 2025년 05월 21일 (수) 23시 59분  
  - 급여: 면접 후 결정, 연장시간수당/상여금  
  - 이력서 양식: 사람인 이력서 양식  "
rec-50311078,(주)화용국제,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=VjlWaUVJT1ExMUNLSklzWkJ6K0xTdz09,의료관광 중국SNS마케팅 상담직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50311078,['온라인마케팅'],경력 6년 ↑,학력무관,"계약직 1년, 정규직 전환 가능",면접 후 결정,서울 광진구,2025.03.23 12:00,2025.04.22 23:59,사람인 입사지원,사람인 이력서 양식,,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 주5일, 근무 가능한 비자 보유자 (D2비자: 주3일 이상)  
근무지역: 해당 사항 없음  
전형절차: 서류전형 → 1차 면접 → 최종 합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 온라인 마케팅 실행, 중국 SNS(샤홍슈어, 틱톡 등) 콘텐츠 제작, CS 중국인 고객 상담 및 예약 관리(채팅/게시글 상담 등)  
- 자격 요건: 한국 거주 중이신 한국어 가능 중국인, 온라인 마케팅 또는 서비스 관련 업무 경험, SNS 콘텐츠 제작 및 VLOG 영상 제작 능력, 활발한 커뮤니케이션 및 협상 능력, 고객 서비스 마인드와 긍정적인 태도, 근무 가능한 비자 보유자  
- 우대 사항: 숏영상업계 마케팅 경험, 외국어 능력(영어, 중국어 등), 창의적인 문제 해결 능력, 다양한 마케팅 캠페인 관리 경험  

[그 외]  
- 그 외 정보:  
  - 복리후생: 4대 보험 제공, 연차 휴가 지원, 교육 및 자기 개발 지원 프로그램 운영  
  - 접수기간: 2025년 03월 23일 (일) 12시 00분 ~ 2025년 04월 22일 (화) 23시 59분  
  - 이력서 양식: 사람인 이력서 양식  "
rec-50310243,주식회사더슬림바디라인,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bFR5R1ZuYXdDdE84clozd1FPN0dxZz09,[고객기기관리] 밝고 활기찬 분 모집 [피부미용자격증 필요해요],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310243,"['피부관리사', '체형관리사', '테라피스트']",,대졸(4년제) 이상,"정규직, 계약직",면접 후 결정,서울 서대문구,2025.03.22 14:00,2025.05.21 23:59,사람인 입사지원,사람인 이력서 양식,,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 평일 10:30-19:30 또는 14:30-22:30 / 토요일 10:00-18:00  
근무지역: 해당 사항 없음  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 고객 예약 관리 및 서비스 안내, 피드백 수집 및 관계 발전  
- 자격 요건: 고객 서비스에 대한 열정, 뷰티/미용 업종 관심, 원활한 의사소통 능력, 긍정적이고 밝은 에너지, 문제 해결 능력  
- 우대 사항: 뷰티·미용 관련 자격증, 고객 관리 경험, 소셜 미디어 홍보 경험, 다양한 뷰티 제품 지식, 팀워크 중시  

[그 외]  
- 그 외 정보:  
  - 월급: 세전 240만원, 기기관리 인센티브 지급  
  - 직원 할인 혜택, 정기적인 뷰티 교육, 유연한 근무 환경 제공  
  - 접수기간: 2025년 03월 22일 (토) 14:00 ~ 2025년 05월 21일 (수) 23:59  
  - 이력서양식: 사람인 이력서 양식  
  - 텃새 없는 근무, 최신 제품 정보 제공  "
rec-50310209,"
경희선한의원
관심기업 등록 ",,[간호조무사] 송파역 한의원 36시간 평일4일 격주토요,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310209,['간호조무사'],,학력무관,정규직,면접 후 결정,서울 송파구,2025.03.22 14:00,2025.04.21 23:59,사람인 입사지원,사람인 이력서 양식,선희,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 평일 9:00-18:30, 격주 토요일 9:00-13:00  
근무지역: 서울특별시 송파구 송파대로 345 헬리오시티 주상가 4층 3호  
전형절차: 1차 서류전형, 2차 면접  
접수방법: 사람인 온라인 지원  

[채용 공고 주요 내용]  
- 주요 업무: 한의원 접수 수납, 한약 환자 배송 확인 전화 및 문자, 환자 관리 및 예약 관리, 한의원 제반 업무  
- 자격 요건: 간호조무사 자격증 소지, 데스크 경력 우대, 환자 소통 능력, 책임감 및 성실함  
- 우대 사항: 팀워크를 중시하며 협력적인 분 환영  

[그 외]  
- 그 외 정보:  
  - 복리후생: 4대 보험 제공, 퇴직금 지급, 여름휴가 3일, 간호복 지급, 연차 및 병가 지원, 정기 건강 검진 실시, 직원 할인 혜택, 직무 관련 교육 및 훈련 기회 제공  
  - 접수기간: 2025년 03월 22일 (토) 14:00 ~ 2025년 04월 21일 (월) 23:59  
  - 이력서 양식: 사람인 이력서 양식  
  - 기타: 병원 전화 문의 또는 방문 접수는 정중히 사양하며, 서류 지원 후 탈락 연락은 따로 드리지 않음  "
rec-50309788,예지미피부과의원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YTB1T1NveDV1ejBXakpaVXE1SGVIQT09,연봉 3300이상 강서구 화곡동 피부과  간호 조무사 구합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309788,['간호조무사'],경력 10~15년,대졸(4년제) 이상,정규직,면접 후 결정,서울 강서구,2025.03.22 12:00,2025.04.21 23:59,"방문지원, 전화지원",자유양식 제출서류 보기,이상원,02-2601-9484,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 평일 9:30-18:50, 토요일 9:30-15:30  
근무지역: 서울 강서구 화곡동(까치산 역 1번 출구 앞)  
전형절차: 해당 사항 없음  
접수방법: 이력서 지참 후 내방, 전화 연락 가능  

[채용 공고 주요 내용]  
- 주요 업무: 일반적인 개인 병원 간호사 업무, 피부과 시술 보조 및 최첨단 장비 사용  
- 자격 요건: 경력 있는 분 환영, 초보도 무관  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 연봉: 3,200-3,500만 원 지급 예정  
  - 점심 시간: 1시간 30분 제공  
  - 휴무: 빨간날 휴무, 매주 목요일 오프  
  - 주 5일제, 주 37시간 근무, 정시 퇴근(19시)  
  - 4대 보험 가능(원할 경우)  
  - 많은 지원 바랍니다.  
  - 전화번호: 02-2601-9484  "
rec-50311049,뽀송의원,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=YXdkZjRhOGltMmNCNGRaNDRwcHFkUT09,[강남역/피부과] 상담실장님 모집함.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50311049,['피부관리사'],,학력무관,"정규직, 계약직",면접 후 결정,서울 서초구,2025.03.23 11:00,,사람인 입사지원,사람인 이력서 양식,,,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 평일 기준 10:30 ~ 20:30 or 11:00 ~ 21:00, 주 5일 (주 4일 협의 가능)  
근무지역: 서울 서초구 강남대로 429 (강남역과 신논현역 사이)  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원, 사람인 온라인 이력서  

[채용 공고 주요 내용]  
- 주요 업무: 고객 응대 및 상담, 전반적인 피부과 상담실장 업무  
- 자격 요건: 경력  
- 우대 사항: 밝고 친절한 분, 텃세 없는 원내 분위기 조성 가능   

[그 외]  
- 그 외 정보:  
  - 근무 시간: 월 화 목 금 10:30 ~ 21:00 (수요일 off), 토 일 10:30 ~ 17:00  
  - 연봉: 경력자 협의, 기본급 + 매출인센  
  - 수습 기간: 2개월 (급여 100% 지급)  
  - 복리후생: 4대보험 가입, 퇴직금 지급, 연차 지급(1년차 만근시 월 1개, 2년차 15개), 점심 및 간식 제공, 시술비 할인, 명절 상여금 지급  
  - 접수기간: 2025년 3월 23일 (일) 11시 ~ 상시  
  - 유의사항: 입사지원 서류에 허위사실 발견 시 채용 취소 가능  "
rec-50311074,(주)메타써치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=b1F6eVdpQlFkR2U2ZHB1andIeG9FZz09,[코스메틱] 화장품 용기소싱 / 패키징 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50311074,"['금형설계', '구매관리', '구매']",경력 15년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울 서초구,2025.03.23 12:00,2025.04.22 23:59,사람인 입사지원,사람인 이력서 양식,우성범 이사,010-2292-4154,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: (06749) 서울 서초구 강남대로 221 양재역환승주차장(양재동) - 신분당선 양재 에서 100m 이내  
전형절차: 서류전형 → 1차면접 → 2차면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 영업팀 전담 용기 소싱 및 선행 점검, 경적서 및 MOQ / 샘플입고, 부자재 업체 핸들링 및 관리, 신규 프리몰드 영업팀 제안, 컨셉별 패키징(금형) 개발 기획, 선정 및 기획서 작성, 내부 품평, 금형 진행 및 금형 개발 컨트롤, 상용성 테스트 진행 및 결과 도출  
- 자격 요건: 화장품 상기 경력 3년 이상  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 접수기간: 2025년 3월 23일 (일) 12시 ~ 2025년 4월 22일 (화) 24시  
  - 이력서양식: 사람인 온라인 이력서  
  - 유의사항: 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다."
rec-50310530,굿커리어,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=QWhIN0RUdWVLdFpHVUFMaWpUTHo0UT09,((유명 대기업계열사  -  식품 식재영업(대리) )),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310530,"['B2B', 'B2C', '매출관리', '가공식품', '식품']",무관(신입포함),대졸(4년제) 이상,정규직,면접 후 결정,서울 강남구,2025.03.22 18:00,2025.04.21 23:59,사람인 입사지원,사람인 이력서 양식,정재훈 (이사),010-8747-3831,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 강남  
전형절차: 해당 사항 없음  
접수방법: 이메일(jhjung@goodcareer.co.kr)  

[채용 공고 주요 내용]  
- 주요 업무: 외식 프랜차이즈 본부 및 도소매 거래처 관리 및 개설, 영업전략 및 목표 수립, 매출관리, 채권관리, 거래처별 프로모션 기획, 신규 메뉴 상품화 및 신제품 제안, 경쟁사 분석 및 시장조사  
- 자격 요건: 대졸 이상(전공 무관), 식품관련 업종 총경력 5년 ~ 8년  
- 우대 사항: 식자재 영업 경험자, 외식 프랜차이즈 본부 영업 경험, 거래처 커뮤니케이션 능력 우수자, 오피스 활용 능력 우수자  

[그 외]  
- 그 외 정보: 고객사는 대기업 계열사이며, 헤드헌팅 회사는 제약, 금융, 소비재팀, 반도체, 디스플레이팀, IT, 전자팀, 중공업, 화학팀을 전문으로 추천하는 전문회사입니다. 문의는 010-8747-3831로 가능합니다."
rec-50309955,(주)라온서치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzB2YUZUUGhZTVY5dXVGam1OempJdz09,자동차용품 개발 경력자 모집(자동차 용품 전문기업 / 과장급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309955,"['제품설계', '3D설계', 'CAD', 'CATIA', '자동차']",경력 10년 ↑,대졸(4년제) 이상,정규직,면접 후 결정,서울 서초구,2025.03.22 13:00,2025.03.27 23:59,사람인 입사지원,사람인 이력서 양식,구래환,02-6925-0919 / 010-4717-5565,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 경기도 안양  
전형절차: 1차 서류전형 → 2차 임원면접  
접수방법: 국문이력서 1부 (JD와 부합되는 경력기술서 포함)  

[채용 공고 주요 내용]  
- 주요 업무: 자동차용품 개발 (고객사 OEM 상품 및 애프터마켓 신규 상품 개발), 제품 개발 관련 기술 문서 작성 (BOM / 사전 원가 수립 / 타당성 검토 보고서 작성 등), 시장 조사 및 전략 수립, 전반적인 개발 프로젝트 관리  
- 자격 요건: 초대졸 이상, 해당 경력 8년 이상 ~ 12년 미만, 2D (AutoCAD) / 3D (CATIA) 프로그램 활용 가능, 자동차 용품 관련 경력 보유, 직무와 관련된 전문 지식 보유 (기구설계, 구조역학 등)  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 회사 소개: 모빌리티 라이프 전문 기업 (대기업 사내 벤처 / KOSDAQ 상장), 설립일 2010년, 매출액 500억 원, 직원 수 220명  
  - 연봉 조건: 6,000만 원 ~ 7,000만 원 (현재 연봉과 비교하여 희망연봉 협의 후 최종 결정)  
  - 복지 제도: 중·석식 제공, 카페테리아 운영, 명절 선물 지급, 자동차 용품 직원가 구매, 신차 구매 지원, 경조사 지원, 근로시간 셧다운제, 보험 및 병원비 지원, 동호회 운영, 출산휴가/육아휴직, 휴일 특근 대체 휴가, 자기계발 지원, 사내 지식 포럼 운영, 사내 제안 제도, 사내도서관, 역량 중심 포상 제도  
  - 헤드헌터 정보: (주)라온서치펌, 헤드헌터 구래환 이사, e-메일: masonnine@gmail.com, 연락처: 010-4717-5565 / 02-6925-0919(직통), 주소: 서울시 서초구 방배동 479-4 호산빌딩 5층  "
rec-50309885,(주)라온서치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzB2YUZUUGhZTVY5dXVGam1OempJdz09,"모바일 App 서비스 운영자 모집 (소비재 제조기업/대리,과장급)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309885,"['앱개발', 'Android', 'iOS']",무관(신입포함),대졸(4년제) 이상,정규직,면접 후 결정,서울 서초구,2025.03.22 12:00,2025.03.27 23:59,사람인 입사지원,사람인 이력서 양식,구래환,02-6925-0919 / 010-4717-5565,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 경기도 판교  
전형절차: 해당 사항 없음  
접수방법: 국문이력서 1부 (*JD와 부합되는 경력소개서 포함)  

[채용 공고 주요 내용]  
- 주요 업무: APP(커뮤니티/SHOP) 서비스 운영 및 관리, 컨텐츠 관리 및 업데이트, 월/분기/연간 서비스 계획 수립 및 운영  
- 자격 요건: 초대졸 이상, APP 또는 WEB 서비스 운영 유경험자, e-커머스 서비스 기획 및 운영 경력 5년 이상  
- 우대 사항: Android/iOS 및 모바일/Web 환경에 대한 이해력, 개발자 및 디자이너와의 원활한 협업 능력, 서비스 기획 경험과 온라인 커머스 경험  

[그 외]  
- 그 외 정보:  
  - 회사 소개: 소비재 및 생활용품 제조업체로 2010년에 설립되었으며, 직원 수는 100명, 매출액은 300억 원입니다.  
  - 복지 제도: 중식 제공, 인센티브 지급, 우수사원 여행 지원, 장기근속 포상, 자기계발 지원, 멘토링 제도 운영, 자유로운 연월차 사용 등 다양한 복리후생이 제공됩니다.  
  - 연봉 조건: 5,000만 원 ~ 6,000만 원, 희망연봉 협의 후 최종 결정."
rec-50309860,(주)라온서치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzB2YUZUUGhZTVY5dXVGam1OempJdz09,웹 어플리케이션 개발자 채용 ( 소비재 제조기업 / 대리급 ),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309860,"['웹개발', '프론트엔드', 'Git', 'jQuery', 'Linux']",무관(신입포함),대졸(4년제) 이상,정규직,면접 후 결정,서울 서초구,2025.03.22 12:00,2025.03.27 23:59,사람인 입사지원,사람인 이력서 양식,구래환,02-6925-0919 / 010-4717-5565,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 경기도 판교  
전형절차: 해당 사항 없음  
접수방법: 국문이력서 1부 (JD와 부합되는 경력소개서 포함)  

[채용 공고 주요 내용]  
- 주요 업무: 웹 어플리케이션 개발 및 유지, 프론트앤드 및 백앤드 개발 작업  
- 자격 요건: 초대졸 이상, 개발 경력 3년 이상 ~ 7년 미만, Spring, jQuery, MySQL, Thymeleaf, Git, Linux 운영 경험, Php  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 회사 소개: 2010년에 설립된 소비재 제조업체로 직원 수 100명, 연매출 300억 원  
  - 연봉 조건: 4,000만 원 ~ 5,000만 원 (희망 연봉 협의 가능)  
  - 복지 제도: 중식 제공, 인센티브 지급, 우수사원 여행지원 및 상금 지급, 장기근속 포상, 자기계발지원, 멘토링 제도 운영, 조기퇴근, 자유로운 연월차 사용, 육아 및 출산 지원, 팀회식비 지원, 사내 도서관 운영, 직무교육 지원, 건강검진, 생일자 파티  
  - 회사 분위기: 직원 위주의 근무 환경으로 직원 만족도가 높은 우수 기업  
  - 헤드헌터 정보: 라온서치펌 구래환 이사, 이메일 및 연락처 제공  "
rec-50309965,(주)라온서치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzB2YUZUUGhZTVY5dXVGam1OempJdz09,"e커머스 경력자 모집 ( 소비재 제조 기업 / 과,차장급 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309965,"['온라인MD', '이커머스']",,대졸(4년제) 이상,정규직,면접 후 결정,서울 서초구,2025.03.22 13:00,2025.03.27 23:59,사람인 입사지원,사람인 이력서 양식,구래환,02-6925-0919 / 010-4717-5565,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 경기도 판교  
전형절차: 해당 사항 없음  
접수방법: 국문이력서 1부 (JD와 부합되는 경력소개서 포함)  

[채용 공고 주요 내용]  
- 주요 업무: 이커머스 채널 세일즈 전략 및 총괄, 브랜드별 마케팅 기반 전략 수립 및 총괄, 브랜드별 세일즈 기반 전략 수립 및 총괄, 사업계획 수립 및 매출 목표관리 기반 피드백, 소비재 및 생활용품 시장 경험 필요  
- 자격 요건: 대졸 이상, 이커머스 영업 경력 10년 이상 ~ 15년 미만, 쿠팡/네이버 채널 영업 및 운영 경험, 브랜드별 세일즈 및 마케팅 운영 경험, 조직 리드 경험, 브랜드 PM 경험  
- 우대 사항: 소비재 및 생활용품 시장 경험, 브랜드 성공 경험  

[그 외]  
- 그 외 정보:  
  - 회사 소개: 소비재/생활용품 제조, 2010년도 설립, 100명 직원, 매출액 300억 원, 본사 경기도 판교  
  - 연봉 조건: 6,000만 원 ~ 7,000만 원 (희망 연봉 협의 후 결정)  
  - 복지 제도: 중식 제공, 인센티브 지급, 우수사원 여행 지원, 멘토링 제도 운영, 자유로운 연월차 사용 등  
  - 연락처: 구래환 이사, 이메일: masonnine@gmail.com / masonnine@raonsearch.co.kr, 연락처: 010-4717-5565 / 02-6925-0919, 주소: 서울시 서초구 방배동 479-4 호산빌딩 5층  

[* 회사 및 담당자의 신뢰성 및 전문성 언급 포함]  "
rec-50309868,(주)라온서치,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=UzB2YUZUUGhZTVY5dXVGam1OempJdz09,"상품기획 경력자 채용 ( 소비재 제조기업 / 과,차장급 )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50309868,"['기획MD', '건강기능식품', '생활용품']",무관(신입포함),학력무관,정규직,면접 후 결정,서울 서초구,2025.03.22 12:00,2025.03.27 23:59,사람인 입사지원,사람인 이력서 양식,구래환,02-6925-0919 / 010-4717-5565,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 경기도 판교  
전형절차: 해당 사항 없음  
접수방법: 이메일 제출 (국문이력서 및 경력소개서 포함)  

[채용 공고 주요 내용]  
- 주요 업무: 소비재 상품 기획, 개발, 관리; 신제품 개발 프로세스; 트렌드 및 시장 조사, 판매 분석; SKU, 원가, 손익, 재고 관리; OEM/ODM 업체 협업 및 개발 핸들링  
- 자격 요건: 대졸 이상; 상품기획/개발/관리 경력 8년 이상 ~ 15년 미만; 유아용품, 생활용품, 화장품, 세제, 건강기능식품 관련 경험; 제품 개발 및 기획 경험; 제품 원가 산출 경험; MS Office 활용 가능  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보:  
  - 회사 소개  
    - 업종: 생활용품 / 소비재 제조  
    - 설립일: 2010년도  
    - 직원수: 100명  
    - 매출액: 300억 원  
    - 본사: 경기도 판교  
  - 연봉 조건: 5,000만 원 ~ 6,500만 원 (*현재 연봉과 비교하며 희망연봉 협의 후 최종 결정)  
  - 복지 제도: 중식 제공, 인센티브 지급, 우수사원 여행지원, 우수사원 시상 상금 지급, 우수아이디어 상금 지급, 장기근속 포상, 자기계발지원, 멘토링 제도 운영, 훼밀리 DAY 조기퇴근, 자유로운 연월차 사용, 육아/출산/휴직 지원, 팀회식비 지원, 사내 도서관 운영, 직무교육 지원, 건강검진, 생일자 파티  
  - 제출 서류: 국문이력서 1부 (*JD와 부합되는 경력소개서 포함)  
  - 연락처: 라온서치펌 대표 헤드헌터 구래환 이사 (이메일: masonnine@gmail.com, 전화: 010-4717-5565)  
  - 직무 관련 전문성과 신뢰성을 강조하는 문구 포함."
rec-50307125,(주)피플렙,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=bGVYeU5YbVBJWmsza2RiQ3U1WkhJUT09,글로벌미용의료기기 전문기업 학술임상팀장,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50307125,"['CRA(임상연구원)', 'CRM(임상연구전문가)', '임상시험', '임상DM', '임상PM']",,석사졸업 이상,정규직 수습기간 3개월,면접 후 결정,서울 금천구,2025.03.21 21:00,,사람인 입사지원,사람인 이력서 양식,Michaela Kim,010-4727-6423 / 010-4727-6423,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 금천구  
전형절차: 해당 사항 없음  
접수방법: 영문/국문 1개화일로 제출  

[채용 공고 주요 내용]  
- 주요 업무: 임상개념 정립, 임상 연구 그룹 운영, 의료직 교육 및 훈련, 임상 프로토콜 개발, 논문 및 연구 개발, 임상 사진 개발, 제품별 학술 강연 발표자 개발 및 교육/관리, 국제 및 주요 국가 컨퍼런스 발표, 회사 학술 웹사이트 개발 및 운영  
- 자격 요건: 경력 10년 이상, 학력 석사 이상, 영어 플루언트(글로벌 리포트)  
- 우대 사항: 해당 사항 없음  

[그 외]  
- 그 외 정보: 글로벌미용의료기기 전문기업으로 4년 연속 매출 상승, 해외법인 보유, 인지도 높은 제품과 좋은 회사 이미지, 성장성 있는 산업 아이템에 투자, 직원 복리후생 및 문화에 대한 언급. 문의 전화번호: 010-4727-6423. 채용은 마감시 클로즈될 수 있으며 빠른 지원 요청.  
- 회사 정보: (주)피플렙, 서울특별시 강남구 테헤란로 313, 성지하이츠1 411~415, 417호(역삼동), 등록번호 제 2018-3220163-14-5-00039호."
rec-50310719,(주)조은이엔씨,https://www.saramin.co.kr/zf_user/company-info/view-inner-recruit?csn=RXZMakZtejhEVU5kRkdwWmdycUVndz09,LX지인 인테리어 인테리어 담당 실장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=50310719,['영업직'],,학력무관(예정자 가능),"정규직, 프리랜서",면접 후 결정,서울 노원구,2025.03.22 23:00,2025.04.10 23:59,사람인 입사지원,사람인 이력서 양식,,010-7246-5933,"[채용 공고 내용]  
채용인원: 해당 사항 없음  
근무형태: 정규직  
근무일시: 해당 사항 없음  
근무지역: 노원구 하계동, 롯데백화점 8층 지인스퀘어  
전형절차: 서류전형 → 1차면접 → 최종합격  
접수방법: 사람인 입사지원  

[채용 공고 주요 내용]  
- 주요 업무: 고객접객 및 영업활동, 현장 출퇴근  
- 자격 요건: 캐드 원활 수행 가능, 개인 노트북 및 차량 소지 필수  
- 우대 사항: 인테리어 현장직 근무경험, LX지인/한샘 RD 경력자, 스케치업 사용자 우대, 영업에 적극적인 사람, 현장 욕심 있는 사람  

[그 외]  
- 그 외 정보:  
  - 급여: 기본급 외 인센티브 지급, 4대보험 적용, 프리랜서 가능(비율 협의)  
  - 수습기간: 3개월  
  - 후속 평가: 1년 후 전체 현장 종합 평가 진행, 기본급 및 인센 인상  
  - 접수기간: 2025년 03월 22일 (토) 23:00 ~ 2025년 05월 21일 (수) 23:59  
  - 이력서 양식: 사람인 이력서 양식  "
